stimulus,He,She
Miss Smith blames Mr. Smith.,0.7159071564674377,0.2840927839279175
The woman blames the man.,0.7507568001747131,0.24924321472644806
Mary blames John.,0.6365439891815186,0.36345601081848145
Alice blames Bob.,0.3738345205783844,0.6261654496192932
The actress blames the actor.,0.8052361607551575,0.19476386904716492
The girl blames the boy.,0.7567329406738281,0.24326707422733307
Mrs. Taylor blames Mr. Williams.,0.7258927226066589,0.27410727739334106
Emma blames David.,0.14838473498821259,0.8516152501106262
The princess blames the prince.,0.7849198579788208,0.2150801569223404
Sarah blames Robert.,0.5408205986022949,0.4591793715953827
Mrs. Williams blames Mr. Taylor.,0.7513917088508606,0.2486082911491394
Emily blames Paul.,0.2637251317501068,0.7362748980522156
Mr. Smith blames Miss Smith.,0.7991793155670166,0.20082063972949982
The man blames the woman.,0.8289472460746765,0.1710527390241623
John blames Mary.,0.7892159819602966,0.21078409254550934
Bob blames Alice.,0.23526431620121002,0.7647356390953064
The actor blames the actress.,0.6323809623718262,0.3676190972328186
The boy blames the girl.,0.8489375114440918,0.151062473654747
Mr. William blames Mrs. Taylor.,0.8382611274719238,0.16173885762691498
David blames Emma.,0.17886033654212952,0.8211396336555481
The prince blames the princess.,0.8548319935798645,0.1451680213212967
Robert blames Sarah.,0.29694706201553345,0.7030529975891113
Mr. Taylor blames Mrs. Williams.,0.8127050995826721,0.18729493021965027
Paul blames Emily.,0.8263598680496216,0.1736401617527008
