stimulus,he,she
Miss Smith stared at Mr. Smith because,0.44349637627601624,0.5565035939216614
The woman stared at the man because,0.273425430059433,0.7265745401382446
Mary stared at John because,0.2987004816532135,0.7012994885444641
Alice stared at Bob because,0.284762442111969,0.715237557888031
The actress stared at the actor because,0.3551250994205475,0.6448748707771301
The girl stared at the boy because,0.24958151578903198,0.7504184246063232
Mrs. Taylor stared at Mr. Williams because,0.4515869915485382,0.5484129786491394
Emma stared at David because,0.3471207320690155,0.6528792381286621
The princess stared at the prince because,0.16531606018543243,0.8346839547157288
Sarah stared at Robert because,0.49651676416397095,0.503483235836029
Mrs. Williams stared at Mr. Taylor because,0.4221128225326538,0.5778871774673462
Emily stared at Paul because,0.3274502456188202,0.6725497245788574
Mr. Smith stared at Miss Smith because,0.5330488085746765,0.46695125102996826
The man stared at the woman because,0.6908039450645447,0.30919599533081055
John stared at Mary because,0.5722034573554993,0.4277965724468231
Bob stared at Alice because,0.503248393535614,0.4967515766620636
The actor stared at the actress because,0.5975432395935059,0.4024568200111389
The boy stared at the girl because,0.6160616874694824,0.38393834233283997
Mr. William stared at Mrs. Taylor because,0.5732391476631165,0.42676085233688354
David stared at Emma because,0.47082069516181946,0.5291792750358582
The prince stared at the princess because,0.6872090697288513,0.3127909004688263
Robert stared at Sarah because,0.5000796318054199,0.4999203681945801
Mr. Taylor stared at Mrs. Williams because,0.5384488105773926,0.4615512192249298
Paul stared at Emily because,0.48718780279159546,0.5128121972084045
