stimulus,He,She
Miss Smith stared at Mr. Smith.,0.3896962106227875,0.6103037595748901
The woman stared at the man.,0.2930641174316406,0.7069358229637146
Mary stared at John.,0.29323071241378784,0.7067692875862122
Alice stared at Bob.,0.2113913893699646,0.7886086106300354
The actress stared at the actor.,0.3201374113559723,0.6798626184463501
The girl stared at the boy.,0.2507486343383789,0.7492513656616211
Mrs. Taylor stared at Mr. Williams.,0.4729968011379242,0.5270032286643982
Emma stared at David.,0.35783088207244873,0.6421691179275513
The princess stared at the prince.,0.1425820142030716,0.8574180006980896
Sarah stared at Robert.,0.44142773747444153,0.5585722327232361
Mrs. Williams stared at Mr. Taylor.,0.3930816948413849,0.6069182753562927
Emily stared at Paul.,0.2633036971092224,0.7366963624954224
Mr. Smith stared at Miss Smith.,0.562908947467804,0.43709099292755127
The man stared at the woman.,0.6886980533599854,0.31130191683769226
John stared at Mary.,0.5993374586105347,0.4006625711917877
Bob stared at Alice.,0.4327225089073181,0.5672774910926819
The actor stared at the actress.,0.4864232540130615,0.5135767459869385
The boy stared at the girl.,0.6472212076187134,0.352778822183609
Mr. William stared at Mrs. Taylor.,0.5602326393127441,0.4397672712802887
David stared at Emma.,0.4632848799228668,0.5367150902748108
The prince stared at the princess.,0.679115355014801,0.32088470458984375
Robert stared at Sarah.,0.5108802318572998,0.48911985754966736
Mr. Taylor stared at Mrs. Williams.,0.5110663175582886,0.4889337122440338
Paul stared at Emily.,0.5205165147781372,0.479483425617218
