stimulus,He,She
Miss Smith ran to Mr. Smith.,0.43429329991340637,0.565706729888916
The woman ran to the man.,0.37357404828071594,0.6264259815216064
Mary ran to John.,0.3446454703807831,0.6553545594215393
Alice ran to Bob.,0.17626799643039703,0.8237319588661194
The actress ran to the actor.,0.32393667101860046,0.6760633587837219
The girl ran to the boy.,0.3165396749973297,0.6834603548049927
Mrs. Taylor ran to Mr. Williams.,0.4895103871822357,0.5104895830154419
Emma ran to David.,0.23148441314697266,0.7685155868530273
The princess ran to the prince.,0.21449436247348785,0.7855056524276733
Sarah ran to Robert.,0.32322025299072266,0.6767796874046326
Mrs. Williams ran to Mr. Taylor.,0.46717581152915955,0.5328242182731628
Emily ran to Paul.,0.15643760561943054,0.8435624241828918
Mr. Smith ran to Miss Smith.,0.4693406820297241,0.5306593179702759
The man ran to the woman.,0.5768697261810303,0.42313018441200256
John ran to Mary.,0.6419422626495361,0.35805773735046387
Bob ran to Alice.,0.5149531960487366,0.4850468039512634
The actor ran to the actress.,0.5992948412895203,0.40070515871047974
The boy ran to the girl.,0.5706133842468262,0.42938661575317383
Mr. William ran to Mrs. Taylor.,0.5110613107681274,0.48893874883651733
David ran to Emma.,0.46212339401245117,0.5378766059875488
The prince ran to the princess.,0.5972042083740234,0.40279579162597656
Robert ran to Sarah.,0.5123714208602905,0.48762863874435425
Mr. Taylor ran to Mrs. Williams.,0.5016019344329834,0.498398095369339
Paul ran to Emily.,0.4688739776611328,0.5311260223388672
