verb,subj_ref_female_subj,obj_ref_female_subj,subj_ref_male_subj,obj_ref_male_subj
flew,0.6736617634693781,0.3263382315635681,0.7088832904895147,0.29111670702695847
walked,0.6316147049268087,0.36838530749082565,0.6357663373152415,0.36423366765181225
ran,0.6562756150960922,0.3437243824203809,0.5987299184004465,0.4012700840830803
swam,0.6810407886902491,0.31895919889211655,0.6369470159212748,0.36305297166109085
drove,0.47897068969905376,0.5210293140262365,0.6941587726275126,0.30584122861425084
jogged,0.5069493092596531,0.49305067273477715,0.6280873666206995,0.3719126209616661
bolted,0.6781413108110428,0.32185868670543033,0.6554818352063497,0.34451816231012344
crawled,0.7016286551952362,0.2983713398377101,0.6644244094689687,0.3355755905310313
limped,0.7440324376026789,0.2559675568093856,0.7292457471291224,0.2707542801896731
lumbered,0.6292922099431356,0.37070779502391815,0.6650390475988388,0.3349609424670537
marched,0.6736617634693781,0.3263382315635681,0.6198187122742335,0.38018129020929337
meandered,0.6376291513442993,0.36237084741393727,0.6681597083806992,0.33184028665224713
pranced,0.6942677547534307,0.30573223655422527,0.6344049125909805,0.36559509485960007
staggered,0.6388669113318125,0.3611331048111121,0.6376764128605524,0.3623235896229744
strolled,0.6379762440919876,0.3620237608750661,0.6289081573486328,0.3710918389260769
trotted,0.6762140542268753,0.3237859569489956,0.6604229410489401,0.3395770688851674
wandered,0.640545147160689,0.35945484911402065,0.6714058170715967,0.328594196587801
