verb,subj_ref_female_subj,obj_ref_female_subj,subj_ref_male_subj,obj_ref_male_subj
flew,0.693261444568634,0.30673854673902196,0.6527568052212397,0.34724318360288936
walked,0.71525110801061,0.2847488907476266,0.561207078397274,0.4387929191191991
ran,0.6790350079536438,0.3209649994969368,0.5355208615461985,0.4644791434208552
swam,0.6573206981023153,0.3426793043812116,0.5660395920276642,0.4339604005217552
drove,0.6757341921329498,0.3242658128341039,0.5967268546422323,0.4032731478412946
jogged,0.6892599860827128,0.31074000895023346,0.519732192158699,0.48026780784130096
bolted,0.6678103655576706,0.3321896220246951,0.5996656566858292,0.40033435573180515
crawled,0.7455391635497411,0.25446082775791484,0.592171773314476,0.4078282192349434
limped,0.6850659002860388,0.3149340823292732,0.561519630253315,0.43848035981257755
lumbered,0.6644304792086283,0.3355695270001888,0.5616994202136993,0.43830057978630066
marched,0.693261444568634,0.30673854673902196,0.5836717958251635,0.41632820665836334
meandered,0.6604356070359548,0.33956438551346463,0.6038822084665298,0.39611778904994327
pranced,0.6921267559130987,0.30787326768040657,0.5361229653159777,0.4638770172993342
staggered,0.6853313595056534,0.31466863428552944,0.5516294091939926,0.4483705833554268
strolled,0.7090437362591425,0.2909562736749649,0.5415815313657125,0.45841846118370694
trotted,0.7139325439929962,0.2860674684246381,0.5788151373465856,0.42118485768636066
wandered,0.6488608121871948,0.3511392039557298,0.5497630933920542,0.4502369041244189
