verb,subj_ref_female_subj,obj_ref_female_subj,subj_ref_male_subj,obj_ref_male_subj
flinging,0.47568120062351227,0.5243187844753265,0.45184727261463803,0.5481527398029963
kicking,0.5591924165685972,0.4408075821896394,0.4992528185248375,0.5007471765081087
lobbing,0.41255075732866925,0.5874492501219114,0.3218078960975011,0.6781920989354452
rolling,0.5471937730908394,0.45280624615649384,0.5310897578795751,0.4689102644721667
throwing,0.4926924780011177,0.5073075306912264,0.4783099368214607,0.5216900780797005
tossing,0.5197474037607511,0.48025258878866833,0.43666088332732517,0.5633391092220942
bringing,0.4102240080634753,0.5897760068376859,0.3939820279677709,0.6060179769992828
forwarding,0.3095014976958434,0.6904985159635544,0.2681930524607499,0.7318069338798523
mailing,0.4240168457229932,0.5759831567605337,0.4134030689795812,0.5865969260533651
shipping,0.5726426442464193,0.42735736444592476,0.5092996060848236,0.4907003814975421
transmitting,0.4137275392810504,0.5862724532683691,0.39731134474277496,0.6026886701583862
wiring,0.4106658423940341,0.5893341625730196,0.3705671528975169,0.6294328520695368
carrying,0.624289999405543,0.37571001425385475,0.5855798770984014,0.41442012041807175
delivering,0.4431369751691818,0.5568630148967108,0.45464332898457843,0.5453566734989485
giving,0.4453753853837649,0.5546246046821276,0.46363882968823117,0.5363611603776614
handing,0.43475505461295444,0.5652449677387873,0.40059616416692734,0.5994038333495458
passing,0.4681816026568413,0.5318183998266856,0.4730878695845604,0.5269121353824934
serving,0.47636088728904724,0.5236391102274259,0.4800808106859525,0.51991917937994
