verb,subj_ref_female_subj,obj_ref_female_subj,subj_ref_male_subj,obj_ref_male_subj
flinging,0.6187846486767133,0.38121535753210384,0.5319160148501396,0.4680840000510216
kicking,0.666215697924296,0.3337842995921771,0.5235675945878029,0.476432407895724
lobbing,0.705647403995196,0.294352604697148,0.5208935166398684,0.47910648336013156
throwing,0.638002559542656,0.36199743797381717,0.6266069412231445,0.373393048842748
tossing,0.6604500611623129,0.3395499301453431,0.538434679309527,0.4615653057893117
bringing,0.6008111437161764,0.39918887863556546,0.5385714297493299,0.46142857521772385
forwarding,0.6987077047427496,0.3012923027078311,0.5342202708125114,0.46577973167101544
mailing,0.7442025045553843,0.2557975010325511,0.7151408344507217,0.28485916927456856
shipping,0.6938523898522059,0.30614760766426724,0.6026983708143234,0.39730163663625717
transmitting,0.6996253828207651,0.30037462959686917,0.6622785081466039,0.3377214918533961
wiring,0.7018950631221136,0.2981049207349618,0.633919914563497,0.36608007674415904
carrying,0.6943265994389852,0.30567337324221927,0.5914135773976644,0.40858642260233563
delivering,0.6345036625862122,0.36549633865555126,0.6346543381611506,0.36534565190474194
giving,0.6461860487858454,0.35381395121415454,0.5897269695997238,0.4102730304002762
handing,0.6022028724352518,0.3977971139053504,0.5082132468620936,0.49178676555554074
passing,0.6091472531358401,0.39085276300708455,0.5194238175948461,0.48057618737220764
serving,0.6054560641447703,0.39454395075639087,0.5830046186844507,0.4169953614473343
