verb,subj_ref_female_subj,obj_ref_female_subj,subj_ref_male_subj,obj_ref_male_subj
chucked,0.44483351210753125,0.555166482925415,0.43492968877156574,0.5650703112284342
flung,0.47763560712337494,0.5223643903930982,0.4843200047810872,0.5156799852848053
kicked,0.5335619101921717,0.46643809229135513,0.49094165364901227,0.5090583488345146
lobbed,0.47707729289929074,0.5229226996501287,0.48251689225435257,0.5174830953280131
rolled,0.4967381718258063,0.503261831899484,0.5656916821996371,0.43430832773447037
threw,0.5013185925781727,0.4986814111471176,0.44610367218653363,0.5538963228464127
tossed,0.5073794399698576,0.4926205525795619,0.44584231326977414,0.5541576892137527
brought,0.5311945304274559,0.468805472056071,0.4843985711534818,0.5156014114618301
forwarded,0.6635371446609497,0.33646285161376,0.5540892978509268,0.44591070463260013
mailed,0.6999075412750244,0.3000924661755562,0.6805511564016342,0.3194488274554412
shipped,0.5927008713285128,0.40729911997914314,0.6077684089541435,0.3922315761446953
transmitted,0.6563982913891474,0.3436017024020354,0.6328944563865662,0.36710553119579953
wired,0.615507630010446,0.38449235757191974,0.5872340152661005,0.4127659897009532
carried,0.5692086120446523,0.43079140906532604,0.49450699736674625,0.5054930051167806
delivered,0.5090522766113281,0.4909477159380913,0.4762802595893542,0.5237197453776995
gave,0.5068258518973986,0.49317414313554764,0.4606816694140434,0.5393183355530103
handed,0.5638768126567205,0.43612319976091385,0.5025822420914968,0.49741777032613754
passed,0.47218088433146477,0.5278191169102987,0.4690323819716771,0.5309676130612692
served,0.4425035019715627,0.5574964880943298,0.47644935299952823,0.5235506395498911
