verb,subj_ref_female_subj,obj_ref_female_subj,subj_ref_male_subj,obj_ref_male_subj
flung,0.4785441110531489,0.5214558939139048,0.37293299039204914,0.627067024509112
kicked,0.5704849561055502,0.4295150438944499,0.3961363459626834,0.6038636416196823
lobbed,0.616806743045648,0.3831932557125886,0.38296207288901013,0.6170379122098287
threw,0.5758012334505717,0.42419874916474026,0.522369422018528,0.4776305804649989
tossed,0.5846611857414246,0.4153388092915217,0.4187242016196251,0.5812757834792137
brought,0.5101335669557253,0.4898664404948552,0.46086613833904266,0.5391338765621185
forwarded,0.6769554068644842,0.3230445918937524,0.4925774733225505,0.507422536611557
mailed,0.7796386877695719,0.22036132216453552,0.7078423003355662,0.29215769842267036
shipped,0.6619740724563599,0.33802590767542523,0.5100488811731339,0.48995111137628555
transmitted,0.6606303801139196,0.3393695962925752,0.620535597205162,0.37946440776189166
wired,0.6666835248470306,0.33331649253765744,0.60019900649786,0.39980098729332286
carried,0.6558891957004865,0.34411079188187915,0.5051278521617254,0.4948721503218015
delivered,0.5453916316231092,0.45460839197039604,0.5532369489471117,0.4467630336682002
gave,0.6046237250169119,0.39537626256545383,0.5339250365893046,0.46607495844364166
handed,0.5135072593887647,0.4864927331606547,0.4131349300344785,0.5868650451302528
passed,0.47752630958954495,0.5224736755092939,0.3869015574455261,0.6130984673897425
served,0.5451595336198807,0.4548404837648074,0.5387877151370049,0.46121228983004886
