stimulus,He,She
Miss Smith handed a book to Mr. Smith.,0.6521769762039185,0.3478230834007263
The woman handed a book to the man.,0.46977514028549194,0.5302248597145081
Mary handed a book to John.,0.4882211685180664,0.5117787718772888
Alice handed a book to Bob.,0.4092637002468109,0.5907363295555115
The actress handed a book to the actor.,0.3254602551460266,0.6745397448539734
The girl handed a book to the boy.,0.5031222701072693,0.4968777000904083
Mrs. Taylor handed a book to Mr. Williams.,0.6483950018882751,0.3516049385070801
Emma handed a book to David.,0.4443507194519043,0.5556492805480957
The princess handed a book to the prince.,0.39006689190864563,0.609933078289032
Sarah handed a book to Robert.,0.5522376298904419,0.4477623403072357
Mrs. Williams handed a book to Mr. Taylor.,0.6345935463905334,0.36540648341178894
Emily handed a book to Paul.,0.3202494978904724,0.6797505021095276
Mr. Smith handed a book to Miss Smith.,0.3625355660915375,0.6374644041061401
The man handed a book to the woman.,0.410685658454895,0.589314341545105
John handed a book to Mary.,0.5740741491317749,0.4259258210659027
Bob handed a book to Alice.,0.3365541696548462,0.6634458303451538
The actor handed a book to the actress.,0.4602469503879547,0.5397530198097229
The boy handed a book to the girl.,0.37597987055778503,0.6240201592445374
Mr. William handed a book to Mrs. Taylor.,0.40038296580314636,0.5996170043945312
David handed a book to Emma.,0.4040319621562958,0.5959679484367371
The prince handed a book to the princess.,0.3797804117202759,0.6202195882797241
Robert handed a book to Sarah.,0.39811569452285767,0.6018842458724976
Mr. Taylor handed a book to Mrs. Williams.,0.4032585918903351,0.5967413783073425
Paul handed a book to Emily.,0.45197317004203796,0.5480268001556396
