stimulus,he,she
Miss Smith walked to Mr. Smith because,0.18757016956806183,0.8124298453330994
The woman walked to the man because,0.3571155369281769,0.6428845524787903
Mary walked to John because,0.08648277819156647,0.9135172963142395
Alice walked to Bob because,0.04094349592924118,0.9590564966201782
The actress walked to the actor because,0.15791533887386322,0.8420846462249756
The girl walked to the boy because,0.19076983630657196,0.8092302083969116
Mrs. Taylor walked to Mr. Williams because,0.18458503484725952,0.8154150247573853
Emma walked to David because,0.022043732926249504,0.9779562950134277
The princess walked to the prince because,0.32083937525749207,0.6791606545448303
Sarah walked to Robert because,0.05857912823557854,0.9414209127426147
Mrs. Williams walked to Mr. Taylor because,0.2206953763961792,0.7793046236038208
Emily walked to Paul because,0.09241561591625214,0.9075843691825867
Mr. Smith walked to Miss Smith because,0.6083990931510925,0.3916008472442627
The man walked to the woman because,0.4979729950428009,0.5020270347595215
John walked to Mary because,0.6227667927742004,0.37723323702812195
Bob walked to Alice because,0.6878366470336914,0.3121633529663086
The actor walked to the actress because,0.1384824961423874,0.8615174889564514
The boy walked to the girl because,0.42767074704170227,0.5723292231559753
Mr. William walked to Mrs. Taylor because,0.3172779083251953,0.6827220320701599
David walked to Emma because,0.3571522831916809,0.6428477168083191
The prince walked to the princess because,0.4831961691379547,0.5168038606643677
Robert walked to Sarah because,0.4065789580345154,0.5934211015701294
Mr. Taylor walked to Mrs. Williams because,0.19251029193401337,0.8074896931648254
Paul walked to Emily because,0.4163745641708374,0.5836254358291626
