stimulus,He,She
Miss Smith swam to Mr. Smith.,0.7597017288208008,0.2402983009815216
The woman swam to the man.,0.7885063886642456,0.21149364113807678
Mary swam to John.,0.3602507412433624,0.6397492289543152
Alice swam to Bob.,0.2901110053062439,0.7098889946937561
The actress swam to the actor.,0.821672797203064,0.17832717299461365
The girl swam to the boy.,0.7956693768501282,0.20433057844638824
Mrs. Taylor swam to Mr. Williams.,0.7701656222343445,0.22983437776565552
Emma swam to David.,0.7481349110603333,0.25186505913734436
The princess swam to the prince.,0.807206392288208,0.192793607711792
Sarah swam to Robert.,0.33695587515830994,0.6630440354347229
Mrs. Williams swam to Mr. Taylor.,0.7833706140518188,0.21662946045398712
Emily swam to Paul.,0.35230252146720886,0.6476974487304688
Mr. Smith swam to Miss Smith.,0.8226039409637451,0.17739605903625488
The man swam to the woman.,0.8596897125244141,0.14031024277210236
John swam to Mary.,0.8322076201438904,0.16779237985610962
Bob swam to Alice.,0.8899157047271729,0.11008428037166595
The actor swam to the actress.,0.856787383556366,0.14321263134479523
The boy swam to the girl.,0.8470866680145264,0.15291333198547363
Mr. William swam to Mrs. Taylor.,0.8470351099967957,0.15296491980552673
David swam to Emma.,0.2897736132144928,0.7102264165878296
The prince swam to the princess.,0.8580056428909302,0.14199435710906982
Robert swam to Sarah.,0.5995941162109375,0.4004058539867401
Mr. Taylor swam to Mrs. Williams.,0.8336402773857117,0.16635972261428833
Paul swam to Emily.,0.8271379470825195,0.17286208271980286
