verb,subj_ref_female_subj,obj_ref_female_subj,subj_ref_male_subj,obj_ref_male_subj
assisted,0.7352657889326414,0.2647342203805844,0.2791032592455546,0.7208967457214991
blames,0.579810676475366,0.4201893185575803,0.3020034891863664,0.6979965269565582
comforted,0.44498567779858905,0.5550143544872602,0.332675709699591,0.6673242971301079
corrected,0.6442286235590776,0.3557713944464922,0.4005269855260849,0.5994730318586031
detests,0.6261943417290846,0.37380567751824856,0.29120904331405956,0.7087909628947576
fears,0.630706583460172,0.3692934215068817,0.3957901361087958,0.6042098502318064
envies,0.5526876697937647,0.44731231530507404,0.3623779242237409,0.6376220608750979
hates,0.4989789252479871,0.501021072268486,0.27040982743104297,0.7295901924371719
helped,0.7143760025501251,0.2856239825487137,0.2881761509925127,0.7118238508701324
mocked,0.5305303161342939,0.46946968883275986,0.4032611238459746,0.5967388823628426
noticed,0.551297627389431,0.4487023626764615,0.31711460277438164,0.6828853935003281
pacified,0.514461395641168,0.48553860435883206,0.37092460443576175,0.6290754203995069
praised,0.5601329853137335,0.4398670196533203,0.2809906539817651,0.7190093596776327
reproached,0.48091913263003033,0.5190808648864428,0.26882927895834047,0.7311707139015198
scolded,0.5100188851356506,0.4899811198314031,0.2948976115634044,0.7051023840904236
stared,0.5176780646046003,0.48232194284598034,0.339424350609382,0.6605756382147471
thanked,0.5539003486434618,0.4460996612906456,0.3169431413213412,0.6830568710962931
trusts,0.5742596412698427,0.4257403425872326,0.47655298312505084,0.5234470268090566
values,0.6358271613717079,0.3641728435953458,0.3560441806912422,0.6439558217922846
