verb,subj_ref_female_subj,obj_ref_female_subj,subj_ref_male_subj,obj_ref_male_subj
assisted,0.40033382053176564,0.5996661726385355,0.49667518710096675,0.5033248042066892
blames,0.39548780396580696,0.6045121935506662,0.6618242350717386,0.33817577362060547
comforted,0.41454528520504635,0.5854547157262763,0.6450957236811519,0.35490426669518155
congratulated,0.36307814717292786,0.6369218596567711,0.5829296509424845,0.41707036023338634
corrected,0.37776067728797597,0.6222393165032069,0.6965637442966303,0.3034362494945526
detests,0.3611403554677963,0.6388596470157305,0.7586914499600729,0.2413085401058197
fears,0.3879471073547999,0.6120528833319744,0.6705923173576593,0.3294076770544052
envies,0.3581320320566495,0.6418679617345333,0.7139079061647257,0.2860920963188012
hates,0.34947974358995754,0.6505202489594618,0.7165068959196409,0.2834931053221226
helped,0.5972662145892779,0.40273377920190495,0.2994153508916497,0.7005846674243609
mocked,0.333752378821373,0.666247612486283,0.63188871430854,0.3681112863123417
noticed,0.4529979849855105,0.5470020317782959,0.6442774956425031,0.35572249939044315
pacified,0.3334641754627228,0.6665358456472555,0.708453580737114,0.29154642795523006
praised,0.3688028044998646,0.6311971843242645,0.6763385642940799,0.3236614329119523
reproached,0.4477786396940549,0.552221347267429,0.5126118382128576,0.4873881625632445
scolded,0.4255697950720787,0.574430218587319,0.478342621276776,0.5216573799649874
stared,0.3442741086085637,0.6557258814573288,0.6797466482967138,0.32025333493947983
thanked,0.43156418825189274,0.5684357980887095,0.5791644559552273,0.4208355372150739
trusts,0.4245816767215729,0.5754183251410723,0.6766679628441731,0.3233320551613967
values,0.4177989177405834,0.5822010698417822,0.7279859073460102,0.2720140852034092
