verb,subj_ref_female_subj,obj_ref_female_subj,subj_ref_male_subj,obj_ref_male_subj
flinging,0.6001374597350756,0.3998625228802363,0.6638461574912071,0.33615383009115857
kicking,0.6250386858979861,0.3749613128602505,0.8596797486146291,0.1403202594568332
lobbing,0.6099321767687798,0.3900678331653277,0.6390513305862745,0.36094865513344604
rolling,0.4505494354913632,0.5494505632668734,0.767084630827109,0.2329153704146544
throwing,0.4663637249420087,0.5336362775415182,0.6707907343904177,0.32920927181839943
tossing,0.581743098795414,0.4182569185892741,0.5960937341054281,0.4039062534769376
bringing,0.6534334272146225,0.3465665727853775,0.5203081518411636,0.47969185064236325
forwarding,0.7002735659480095,0.2997264365355174,0.5525951907038689,0.4474048043290774
mailing,0.7279542535543442,0.2720457601050536,0.47344642380873364,0.5265535687406858
shipping,0.7413759231567383,0.2586240656673908,0.6959819669524828,0.30401804360250634
transmitting,0.6513843362530073,0.3486156885822614,0.34784091264009476,0.6521590873599052
wiring,0.6351043010751406,0.3648957200348377,0.6332040453950564,0.3667959434290727
carrying,0.7705380370219549,0.22946197539567947,0.7497655103603998,0.2502345048512022
delivering,0.6961586723725001,0.30384132514397305,0.6437792976697286,0.356220696742336
giving,0.6018908272186915,0.39810918519894284,0.5905328914523125,0.40946711227297783
handing,0.6131361201405525,0.3868638811012109,0.47286908452709514,0.5271309167146683
passing,0.6759894217054049,0.32401061058044434,0.5937695701917013,0.40623041490713757
serving,0.7657632579406103,0.23423674143850803,0.901804099480311,0.09819590703894694
