verb,subj_ref_female_subj,obj_ref_female_subj,subj_ref_male_subj,obj_ref_male_subj
flinging,0.32605413099129993,0.673945851624012,0.7381090683241686,0.26189094098905724
kicking,0.3696057287355264,0.6303942824403445,0.8105782829225063,0.18942169534663358
lobbing,0.44633225599924725,0.5536677446216345,0.7510611216227213,0.2489388690640529
throwing,0.34963036328554153,0.6503696429232756,0.7263062403847774,0.2736937540272872
tossing,0.3567892635862033,0.6432107239961624,0.7368341771264871,0.2631658272196849
bringing,0.42269590372840565,0.5773041062057018,0.8034825213253498,0.19651748053729534
forwarding,0.36389317736029625,0.6361068164308866,0.728417127703627,0.2715828704337279
mailing,0.3996493232746919,0.6003506723791361,0.7337387849887212,0.26626122494538623
shipping,0.40718966101606685,0.5928103265662988,0.7497904400030772,0.25020957738161087
transmitting,0.3790954425930977,0.620904544989268,0.6818449149529139,0.3181550782173872
wiring,0.26861587166786194,0.7313841457168261,0.713752164815863,0.28624784139295417
carrying,0.3652939163148403,0.6347060762345791,0.7649392758806547,0.2350607259819905
delivering,0.344850563754638,0.6551494272425771,0.6888290904462337,0.31117091079552966
giving,0.42686307554443675,0.5731369163841009,0.7036773295452198,0.29632265989979106
handing,0.3390357146660487,0.6609642753998438,0.6755148549564183,0.32448515854775906
passing,0.36354054138064384,0.6364594573775927,0.6983161829411983,0.30168384313583374
serving,0.4144563103715579,0.5855437014251947,0.7888396953543028,0.21116029595335326
