verb,subj_ref_female_subj,obj_ref_female_subj,subj_ref_male_subj,obj_ref_male_subj
chucked,0.6363786260286967,0.3636214037736257,0.7344949891169866,0.2655050090203683
flung,0.42588022475441295,0.5741197864214579,0.3994076835612456,0.6005923201640447
kicked,0.39683478822310764,0.6031652043263117,0.6915967663129171,0.3084032256156206
lobbed,0.4132421985268593,0.5867578039566675,0.3445676440993945,0.6554323583841324
rolled,0.43839760931829613,0.5616024124125639,0.6083691964546839,0.3916308271388213
threw,0.48485985087851685,0.5151401485006014,0.4954081252217293,0.5045918735365073
tossed,0.45174092302719754,0.5482590794563293,0.3898032680153847,0.6101967369516691
brought,0.5367297381162643,0.46327027430136997,0.3803272967537244,0.6196727007627487
forwarded,0.6067333742976189,0.3932666393617789,0.3168081318338712,0.6831918805837631
mailed,0.5926221162080765,0.4073778788248698,0.2300682496279478,0.769931768377622
shipped,0.6699842909971873,0.33001572887102765,0.37445370480418205,0.6255462914705276
transmitted,0.5605547726154327,0.43944523980220157,0.1878035832196474,0.8121964186429977
wired,0.4326547011733055,0.5673453162113825,0.1981760567675034,0.8018239388863245
carried,0.6407200172543526,0.3592799740533034,0.5431366711854935,0.45686333253979683
delivered,0.5355552633603414,0.46444472422202426,0.4072210565209389,0.5927789335449537
gave,0.440170519053936,0.5598294859131178,0.36426274105906487,0.6357372800509135
handed,0.5421667645374934,0.4578332429130872,0.2601617102821668,0.7398382773001989
passed,0.5570628841718038,0.44293713569641113,0.48221786816914874,0.517782136797905
served,0.6821382840474447,0.31786170105139416,0.8187801490227381,0.1812198751916488
