verb,subj_ref_female_subj,obj_ref_female_subj,subj_ref_male_subj,obj_ref_male_subj
flung,0.2334544062614441,0.7665455887715021,0.739468589425087,0.2605314316848914
kicked,0.2682275225718816,0.731772484878699,0.8098979654411474,0.19010205566883087
lobbed,0.32126524423559505,0.6787347570061684,0.701353631913662,0.29864637677868205
threw,0.28743628909190494,0.7125637183586756,0.7480034486701092,0.2519965637475252
tossed,0.28286149352788925,0.7171384965380033,0.736067938307921,0.26393204368650913
brought,0.37127919619282085,0.628720797598362,0.7547792829573154,0.24522072387238344
forwarded,0.26085657998919487,0.7391434013843536,0.6982212426761786,0.30177874863147736
mailed,0.3095480315387249,0.6904519479721785,0.6988654894133409,0.30113451307018596
shipped,0.2816117803255717,0.7183882147073746,0.6903505710264047,0.30964943890770275
transmitted,0.3060474693775177,0.6939525464549661,0.6631904980167747,0.33680948863426846
wired,0.28836411113540333,0.7116358689963818,0.6782032710810503,0.32179673574864864
carried,0.2887895094851653,0.7112104942401251,0.7573745455592871,0.24262546499570212
delivered,0.28402767206231755,0.7159723360091448,0.6756876800209284,0.32431232184171677
gave,0.36474642778436345,0.6352535796662172,0.6809425931423903,0.3190574248631795
handed,0.31200137734413147,0.687998621724546,0.60444491628247,0.3955550752580166
passed,0.2890663519501686,0.7109336405992508,0.7319558939586083,0.2680441023161014
served,0.3636070042848587,0.636392991989851,0.8013599316279093,0.19864007706443468
