stimulus,He,She
Miss Smith amazed Mr. Smith.,0.3349887728691101,0.6650111675262451
The woman amazed the man.,0.7541561722755432,0.2458438128232956
Mary amazed John.,0.7682185769081116,0.23178145289421082
Alice amazed Bob.,0.7258854508399963,0.27411460876464844
The actress amazed the actor.,0.8299443125724792,0.17005571722984314
The girl amazed the boy.,0.7751545906066895,0.22484543919563293
Mrs. Taylor amazed Mr. Williams.,0.36789989471435547,0.6321001052856445
Emma amazed David.,0.10170482844114304,0.8982951641082764
The princess amazed the prince.,0.799877405166626,0.20012257993221283
Sarah amazed Robert.,0.4789160490036011,0.5210839509963989
Mrs. Williams amazed Mr. Taylor.,0.4049045741558075,0.5950954556465149
Emily amazed Paul.,0.3207577168941498,0.6792422533035278
Mr. Smith amazed Miss Smith.,0.45905792713165283,0.5409421324729919
The man amazed the woman.,0.8631719350814819,0.13682806491851807
John amazed Mary.,0.5159569382667542,0.48404306173324585
Bob amazed Alice.,0.10103330761194229,0.8989667296409607
The actor amazed the actress.,0.8569298386573792,0.14307010173797607
The boy amazed the girl.,0.8572449088096619,0.14275501668453217
Mr. William amazed Mrs. Taylor.,0.3116428256034851,0.6883572340011597
David amazed Emma.,0.02120627835392952,0.978793740272522
The prince amazed the princess.,0.8632715344429016,0.13672848045825958
Robert amazed Sarah.,0.07000725716352463,0.9299927353858948
Mr. Taylor amazed Mrs. Williams.,0.10639500617980957,0.8936049938201904
Paul amazed Emily.,0.4222968518733978,0.5777031779289246
