stimulus,he,she
"Miss Smith meandered to Mr. Smith and, as a result,",0.23114104568958282,0.7688589692115784
"The woman meandered to the man and, as a result,",0.5331114530563354,0.46688857674598694
"Mary meandered to John and, as a result,",0.26404061913490295,0.7359594106674194
"Alice meandered to Bob and, as a result,",0.46862462162971497,0.5313753485679626
"The actress meandered to the actor and, as a result,",0.6416342258453369,0.3583658039569855
"The girl meandered to the boy and, as a result,",0.5920771360397339,0.4079228937625885
"Mrs. Taylor meandered to Mr. Williams and, as a result,",0.36827465891838074,0.6317253112792969
"Emma meandered to David and, as a result,",0.24643786251544952,0.7535620927810669
"The princess meandered to the prince and, as a result,",0.43570688366889954,0.5642930865287781
"Sarah meandered to Robert and, as a result,",0.46147581934928894,0.5385241508483887
"Mrs. Williams meandered to Mr. Taylor and, as a result,",0.32394230365753174,0.6760576963424683
"Emily meandered to Paul and, as a result,",0.2607942819595337,0.7392057180404663
"Mr. Smith meandered to Miss Smith and, as a result,",0.3136112689971924,0.6863887310028076
"The man meandered to the woman and, as a result,",0.5915824770927429,0.40841755270957947
"John meandered to Mary and, as a result,",0.35103967785835266,0.6489603519439697
"Bob meandered to Alice and, as a result,",0.7999116778373718,0.20008836686611176
"The actor meandered to the actress and, as a result,",0.7243878841400146,0.27561214566230774
"The boy meandered to the girl and, as a result,",0.7676107287406921,0.23238924145698547
"Mr. William meandered to Mrs. Taylor and, as a result,",0.4965711236000061,0.5034288763999939
"David meandered to Emma and, as a result,",0.35200753808021545,0.6479925513267517
"The prince meandered to the princess and, as a result,",0.5151451826095581,0.4848547875881195
"Robert meandered to Sarah and, as a result,",0.7404478788375854,0.25955209136009216
"Mr. Taylor meandered to Mrs. Williams and, as a result,",0.3045841157436371,0.6954158544540405
"Paul meandered to Emily and, as a result,",0.41922345757484436,0.580776572227478
