stimulus,He,She
Miss Smith limped to Mr. Smith.,0.19430890679359436,0.8056910634040833
The woman limped to the man.,0.7980050444602966,0.20199494063854218
Mary limped to John.,0.5447983145713806,0.455201655626297
Alice limped to Bob.,0.30732256174087524,0.69267737865448
The actress limped to the actor.,0.8263726830482483,0.17362737655639648
The girl limped to the boy.,0.8074231147766113,0.19257685542106628
Mrs. Taylor limped to Mr. Williams.,0.1820586919784546,0.8179413080215454
Emma limped to David.,0.7312443852424622,0.26875564455986023
The princess limped to the prince.,0.8118922710418701,0.18810778856277466
Sarah limped to Robert.,0.34401223063468933,0.6559877395629883
Mrs. Williams limped to Mr. Taylor.,0.29098793864250183,0.7090120315551758
Emily limped to Paul.,0.32753559947013855,0.6724643111228943
Mr. Smith limped to Miss Smith.,0.565161406993866,0.43483859300613403
The man limped to the woman.,0.8764758110046387,0.1235242411494255
John limped to Mary.,0.8471675515174866,0.1528325080871582
Bob limped to Alice.,0.8908692002296448,0.10913075506687164
The actor limped to the actress.,0.8695719838142395,0.1304280310869217
The boy limped to the girl.,0.8657842874526978,0.13421577215194702
Mr. William limped to Mrs. Taylor.,0.45785948634147644,0.542140543460846
David limped to Emma.,0.16470453143119812,0.8352954983711243
The prince limped to the princess.,0.8745906949043274,0.12540926039218903
Robert limped to Sarah.,0.6359096169471741,0.36409035325050354
Mr. Taylor limped to Mrs. Williams.,0.1600746363401413,0.8399253487586975
Paul limped to Emily.,0.8250164985656738,0.17498351633548737
