verb,subj_ref_female_subj,obj_ref_female_subj,subj_ref_male_subj,obj_ref_male_subj
aggravated,0.7092291712760925,0.29077082872390747,0.45223838463425636,0.5477616166075071
amazed,0.6557517846425375,0.3442482091486454,0.7328741314510504,0.26712586389233667
amused,0.6687391251325607,0.33126089721918106,0.5982684927682081,0.4017315171658993
annoyed,0.6894185443719228,0.31058145066102344,0.5398118011653423,0.46018820255994797
apologized,0.6051001424590746,0.3948998621975382,0.48016007741292316,0.519839937488238
bored,0.5920870751142502,0.4079129270588358,0.3153871639321248,0.6846128304799398
charmed,0.6328137119611105,0.367186280588309,0.5744334223369757,0.42556657021244365
offended,0.6545798530181249,0.34542013828953105,0.5331188403069973,0.4668811708688736
confessed,0.8987147510051727,0.10128525923937559,0.7094847845534483,0.29051520582288504
deceived,0.7202855249245962,0.27971446327865124,0.4723573252558708,0.527642679711183
disappointed,0.6515872403979301,0.34841276456912357,0.5436547671755155,0.4563452402750651
exasperated,0.6435684313376745,0.35643157611290616,0.5365658377607664,0.4634341572721799
fascinated,0.6920795291662216,0.3079204633831978,0.5336682001749674,0.46633180727561313
frightened,0.6513737340768179,0.3486262609561284,0.5344733831783136,0.46552661682168645
humiliated,0.623081254462401,0.3769187517464161,0.4355686704317729,0.5644313270847002
infuriated,0.617109385629495,0.38289059574405354,0.45241820563872653,0.547581801811854
inspires,0.6853758494059244,0.31462415556112927,0.5062743301192919,0.4937256450454394
intimidates,0.654242475827535,0.34575751920541126,0.6188419759273529,0.3811580364902814
scares,0.6400797416766485,0.35992026204864186,0.5414613833030065,0.45853861918052036
surprised,0.7111633097132047,0.2888366859406233,0.7716049154599508,0.22839506839712462
