verb,subj_ref_female_subj,obj_ref_female_subj,subj_ref_male_subj,obj_ref_male_subj
assisted,0.5170952193439007,0.48290478189786273,0.3766127337391178,0.6233872696757317
blames,0.5367649644613266,0.4632350193957488,0.548105721672376,0.45189428701996803
comforted,0.5063512995839119,0.49364869110286236,0.5312038767151535,0.4687961166103681
congratulated,0.43879368901252747,0.5612063016742468,0.49876957464342314,0.5012304373085499
corrected,0.4529675170779228,0.5470324903726578,0.6132981839279333,0.3867018061379592
detests,0.47830646112561226,0.5216935413579146,0.6938691151638826,0.3061308916658163
fears,0.5084878380099932,0.49151216447353363,0.5909060991058747,0.40909390213588875
envies,0.4556279505292575,0.5443720469872156,0.653632428497076,0.34636756281057995
hates,0.4641241952776909,0.5358758084475994,0.6532671588162581,0.34673284739255905
helped,0.6488342955708504,0.35116570132474106,0.2126444304982821,0.7873555769522985
mocked,0.43415118381381035,0.5658488245680928,0.5191304520703852,0.4808695645382007
noticed,0.45764176671703655,0.5423582326620817,0.5462201734383901,0.453779815385739
pacified,0.42294031257430714,0.5770596799751123,0.5975572901467482,0.402442691847682
praised,0.45913556839028996,0.5408644291261832,0.5522163395459453,0.44778366448978585
reproached,0.48416363447904587,0.5158363524824381,0.41251830213392776,0.5874817023674647
scolded,0.5211138265828291,0.47888615416983765,0.3785245108107726,0.6214754792551199
stared,0.4605170090993245,0.5394829995930195,0.6171389209727446,0.38286109330753487
thanked,0.4213682562112808,0.5786317499975363,0.5123381999631723,0.48766180500388145
trusts,0.5156910618146261,0.48430893135567504,0.601081196218729,0.39891881433626014
values,0.5290728956460953,0.47092710559566814,0.6317435192565123,0.3682564788808425
