verb,subj_ref_female_subj,obj_ref_female_subj,subj_ref_male_subj,obj_ref_male_subj
flew,0.5109377304712931,0.48906226456165314,0.6539705221851667,0.3460294809192419
walked,0.5972432419657707,0.40275677169362706,0.458308145403862,0.5416918694972992
ran,0.5409169793128967,0.45908302068710327,0.3387807533144951,0.6612192417184511
swam,0.6385632455348969,0.36143675694863003,0.5910361756881078,0.4089638218283653
drove,0.5508217327296734,0.4491782660285632,0.4656009053190549,0.5343990822633108
jogged,0.4817244919637839,0.5182755117615064,0.5458330363035202,0.4541669761141141
bolted,0.5317912722627322,0.4682087351878484,0.6477382083733877,0.35226179907719296
crawled,0.8461243758598963,0.153875638730824,0.5027192483345667,0.4972807355225086
limped,0.5577876543005308,0.4422123519082864,0.5388845354318619,0.461115475744009
lumbered,0.5527660995721817,0.4472338830431302,0.5336857860287031,0.46631421769658726
marched,0.6356964930891991,0.36430348828434944,0.46204738443096477,0.5379526012887558
meandered,0.5977282548944155,0.4022717426220576,0.5313435842593511,0.4686564269165198
pranced,0.5425679634014765,0.4574320465326309,0.5243748451272646,0.4756251474221547
staggered,0.5811882068713506,0.41881180678804714,0.42213786765933037,0.5778621310989062
strolled,0.5698289250334104,0.43017108738422394,0.46735887974500656,0.5326411028703054
trotted,0.5546051636338234,0.4453948438167572,0.43799394617478055,0.562006072451671
wandered,0.5763004447023073,0.4236995515724023,0.5339510465661684,0.4660489422579606
