verb,subj_ref_female_subj,obj_ref_female_subj,subj_ref_male_subj,obj_ref_male_subj
flew,0.4179716631770134,0.5820283318559328,0.6785770381490389,0.3214229606091976
walked,0.5249656600256761,0.47503435146063566,0.6110003149757782,0.3889996688812971
ran,0.5013915846745173,0.4986084159463644,0.5400106180459261,0.45998940368493396
swam,0.48825735474626225,0.5117426514625549,0.7049181262652079,0.2950818824271361
drove,0.5302672348916531,0.46973278528700274,0.6263250863800446,0.3736749229331811
jogged,0.4639590394993623,0.5360409691929817,0.6630885104338328,0.33691149453322095
bolted,0.45135890940825146,0.5486410818994045,0.7343201835950216,0.2656798157840967
crawled,0.5604082681238651,0.43959174677729607,0.6891638065377871,0.3108362207810084
limped,0.48616984114050865,0.5138301452000936,0.6694321421285471,0.33056786842644215
lumbered,0.4729521684348583,0.5270478216310343,0.6551645087699095,0.344835489988327
marched,0.4024346110721429,0.5975653926531473,0.7110645150144895,0.2889354955404997
meandered,0.5531772909065088,0.44682269791762036,0.627185869961977,0.3728141089280446
pranced,0.45220553999145824,0.5477944662173589,0.6209549798319737,0.37904501768449944
staggered,0.508722472935915,0.4912775456905365,0.6068426122268041,0.3931573908776045
strolled,0.49625097711881,0.5037490374719104,0.6199311390519142,0.380068880195419
trotted,0.42797908062736195,0.572020910680294,0.6103731039911509,0.3896268966297309
wandered,0.4982319511473179,0.5017680429543058,0.6215085554867983,0.3784914544473092
