verb,subj_ref_female_subj,obj_ref_female_subj,subj_ref_male_subj,obj_ref_male_subj
flinging,0.5744233354926109,0.42557665705680847,0.6732425093650818,0.326757475733757
kicking,0.5761752451459566,0.423824742436409,0.8351775060097376,0.16482250827054182
lobbing,0.586467333137989,0.41353266562024754,0.6291032284498215,0.3708967696875334
rolling,0.44847143689791363,0.5515285599976778,0.758018838862578,0.24198115865389505
throwing,0.45036580227315426,0.5496341971059641,0.6845715045928955,0.3154284966488679
tossing,0.553545854985714,0.44645415743192035,0.6098128780722618,0.3901871119936307
bringing,0.6364423185586929,0.36355768144130707,0.5361693575978279,0.46383065233627957
forwarding,0.6932058706879616,0.30679412682851154,0.5437903801600138,0.45620962729056674
mailing,0.7234721730152766,0.276527834435304,0.47855769097805023,0.5214422966043154
shipping,0.7452728947003683,0.254727091640234,0.6731593161821365,0.3268406968563795
transmitting,0.6607503915826479,0.3392496220767498,0.35693751523892087,0.6430624897281328
wiring,0.6392433568835258,0.36075666422645253,0.6299530218044916,0.3700469695031643
carrying,0.7642380644877752,0.23576195538043976,0.7352947443723679,0.2647052633886536
delivering,0.6630862702926,0.33691372722387314,0.6247215469678243,0.3752784449607134
giving,0.6152292142311732,0.3847707969446977,0.6015774756669998,0.3984225255747636
handing,0.6226978624860445,0.3773021325469017,0.48104023436705273,0.5189597755670547
passing,0.6712806150317192,0.32871940607825917,0.579240063826243,0.4207599212725957
serving,0.748988484342893,0.25101150882740814,0.8801512072483698,0.11984879554559787
