verb,subj_ref_female_subj,obj_ref_female_subj,subj_ref_male_subj,obj_ref_male_subj
flinging,0.4212473010023435,0.5787527076900005,0.6511597565064827,0.3488402341802915
kicking,0.46969930703441304,0.5303007004161676,0.7223190031945705,0.2776809961845477
lobbing,0.5632709587613741,0.43672903006275493,0.6669017517318329,0.3330982644110918
throwing,0.45359641934434575,0.5464035669962565,0.6432773775110642,0.3567226342856884
tossing,0.45684802159667015,0.5431519982715448,0.645962011689941,0.3540379808594783
bringing,0.5131269730627537,0.48687302072842914,0.716777661194404,0.28322232762972516
forwarding,0.4849487133324146,0.5150512481729189,0.6386356074362993,0.3613643969098727
mailing,0.5300260931253433,0.4699739043911298,0.6527522789935271,0.3472477284570535
shipping,0.5446726034084955,0.4553273965915044,0.6631020046770573,0.3368979940811793
transmitting,0.5014531972507635,0.49854679343601066,0.5967813885460297,0.4032186058660348
wiring,0.4134589632352193,0.5865410131712755,0.6244871163119873,0.37551288058360416
carrying,0.5007905500630537,0.4992094362775485,0.6817748385171095,0.31822515775760013
delivering,0.4879679021735986,0.5120320984472831,0.5923331870386997,0.4076668042689562
giving,0.5528206105033556,0.44717938515047234,0.6077683152010044,0.3922316947331031
handing,0.47115092476209003,0.5288490553696951,0.5775409275665879,0.4224590777109067
passing,0.45909259095788,0.5409073928991953,0.623531727741162,0.3764682908852895
serving,0.5331350279351076,0.4668649851034085,0.7206376840670904,0.27936231593290967
