verb,subj_ref_female_subj,obj_ref_female_subj,subj_ref_male_subj,obj_ref_male_subj
chucked,0.5691638911763827,0.4308361199994882,0.7198951741059622,0.28010482403139275
flung,0.41311748946706456,0.5868825192252795,0.44154756764570874,0.5584524273872375
kicked,0.3447947750488917,0.6552052348852158,0.7218195647001266,0.2781804172943036
lobbed,0.39138907690842945,0.6086109181245168,0.38453276331226033,0.6154672503471375
rolled,0.4172429945319891,0.582757027198871,0.6305908014376959,0.3694092221558094
threw,0.45201059865454835,0.5479894019663334,0.5336058388153712,0.46639415994286537
tossed,0.41558410972356796,0.5844159076611201,0.4346574271718661,0.5653425777951876
brought,0.5113677506645521,0.4886322443683942,0.40870995943744975,0.5912900467713674
forwarded,0.6025717929005623,0.3974282244841258,0.32670995220541954,0.6732900540033976
mailed,0.6074504852294922,0.39254951228698093,0.24995565538605055,0.7500443508227667
shipped,0.6700871388117472,0.3299128785729408,0.37711334476868313,0.62288665274779
transmitted,0.5690442820390066,0.43095571796099347,0.2038682090739409,0.7961317896842957
wired,0.4694378152489662,0.530562199652195,0.20526351096729437,0.7947364797194799
carried,0.6343031252423922,0.36569685861468315,0.5547199745972952,0.4452800241609414
delivered,0.5100810378789902,0.48991894721984863,0.41268571590383846,0.5873142952720324
gave,0.4419509246945381,0.5580490802725157,0.39669473220904666,0.6033052851756414
handed,0.5540965894858042,0.4459034229318301,0.2695373023549716,0.7304626802603403
passed,0.5427867869536082,0.457213227947553,0.49113281816244125,0.5088671793540319
served,0.6612250655889511,0.3387749257187049,0.8306837032238642,0.16931630981465182
