verb,subj_ref_female_subj,obj_ref_female_subj,subj_ref_male_subj,obj_ref_male_subj
flung,0.3253944789369901,0.6746055285135905,0.6577352186044058,0.3422647813955943
kicked,0.36474055672685307,0.6352594420313835,0.7249898438652357,0.2750101728985707
lobbed,0.43474422271053,0.5652557599047819,0.6272048602501551,0.3727951354036729
threw,0.39208009590705234,0.6079199090600014,0.6621932225922743,0.33780678982536
tossed,0.3801657321552436,0.6198342790206274,0.6454746002952257,0.3545254282653332
brought,0.44479063029090565,0.5552093957861265,0.6703529941538969,0.32964700398345786
forwarded,0.39112140983343124,0.6088786125183105,0.60191735252738,0.39808263443410397
mailed,0.45062339926759404,0.549376607251664,0.6118765870730082,0.38812342782815296
shipped,0.4315744328002135,0.5684255721668402,0.5891369649519523,0.41086302883923054
transmitted,0.42308614030480385,0.5769138503819704,0.573671397442619,0.4263286118706067
wired,0.41708915928999585,0.582910834501187,0.546848651021719,0.453151340285937
carried,0.42591320474942523,0.5740868163605531,0.6673701945692301,0.33262982964515686
delivered,0.4357231482863426,0.5642768641312917,0.5754959937185049,0.42450400441884995
gave,0.4996302065749963,0.5003697915623585,0.5880211669330796,0.4119788135091464
handed,0.4634132559100787,0.536586736018459,0.4930004942386101,0.5069994914035002
passed,0.3817170349260171,0.6182829563816389,0.6536723629881939,0.3463276332865159
served,0.49445636322100955,0.5055436243613561,0.7254515824218591,0.2745484213034312
