stimulus,he,she
Miss Smith was transmitting a message to Mr. Smith because,0.04752415791153908,0.9524758458137512
The woman was transmitting a message to the man because,0.37074583768844604,0.629254162311554
Mary was transmitting a message to John because,0.16372454166412354,0.8362754583358765
Alice was transmitting a message to Bob because,0.20566426217556,0.7943357229232788
The actress was transmitting a message to the actor because,0.1262393742799759,0.8737606406211853
The girl was transmitting a message to the boy because,0.2632223069667816,0.7367777228355408
Mrs. Taylor was transmitting a message to Mr. Williams because,0.2272173911333084,0.7727826237678528
Emma was transmitting a message to David because,0.112727090716362,0.8872728943824768
The princess was transmitting a message to the prince because,0.2848075032234192,0.7151924967765808
Sarah was transmitting a message to Robert because,0.15467053651809692,0.8453294038772583
Mrs. Williams was transmitting a message to Mr. Taylor because,0.25374358892440796,0.7462563514709473
Emily was transmitting a message to Paul because,0.25900372862815857,0.740996241569519
Mr. Smith was transmitting a message to Miss Smith because,0.6512881517410278,0.34871184825897217
The man was transmitting a message to the woman because,0.5427731275558472,0.45722687244415283
John was transmitting a message to Mary because,0.7048442959785461,0.29515570402145386
Bob was transmitting a message to Alice because,0.3319340944290161,0.6680659651756287
The actor was transmitting a message to the actress because,0.31669071316719055,0.6833092570304871
The boy was transmitting a message to the girl because,0.5337426066398621,0.4662574529647827
Mr. William was transmitting a message to  Mrs. Taylor because,0.34604647755622864,0.653953492641449
David was transmitting a message to Emma because,0.5280015468597412,0.4719984829425812
The prince was transmitting a message to the princess because,0.747947096824646,0.2520529329776764
Robert was transmitting a message to Sarah because,0.35103553533554077,0.6489644646644592
Mr. Taylor was transmitting a message to Mrs. Williams because,0.19410869479179382,0.8058912754058838
Paul was transmitting a message to Emily because,0.46660611033439636,0.533393919467926
