stimulus,He,She
Miss Smith tossed a dish towel to Mr. Smith.,0.3479241728782654,0.6520758867263794
The woman tossed a dish towel to the man.,0.8078531622886658,0.1921469271183014
Mary tossed a dish towel to John.,0.6496161818504333,0.35038381814956665
Alice tossed a dish towel to Bob.,0.6895772218704224,0.3104228079319
The actress tossed a dish towel to the actor.,0.8299458622932434,0.17005416750907898
The girl tossed a dish towel to the boy.,0.8170279860496521,0.1829719990491867
Mrs. Taylor tossed a dish towel to Mr. Williams.,0.29465457797050476,0.7053453922271729
Emma tossed a dish towel to David.,0.8173274993896484,0.18267247080802917
The princess tossed a dish towel to the prince.,0.8154177665710449,0.18458223342895508
Sarah tossed a dish towel to Robert.,0.4506044387817383,0.5493955612182617
Mrs. Williams tossed a dish towel to  Mr. Taylor.,0.4160301983356476,0.58396977186203
Emily tossed a dish towel to Paul.,0.5020322799682617,0.49796774983406067
Mr. Smith tossed a dish towel to Miss Smith.,0.8681954741477966,0.13180455565452576
The man tossed a dish towel to the woman.,0.8899611234664917,0.11003891378641129
John tossed a dish towel to Mary.,0.8824676871299744,0.11753228306770325
Bob tossed a dish towel to Alice.,0.8762204647064209,0.1237795352935791
The actor tossed a dish towel to the actress.,0.8813595175743103,0.11864052712917328
The boy tossed a dish towel to the girl.,0.8811159729957581,0.11888407915830612
Mr. William tossed a dish towel to  Mrs. Taylor.,0.32237640023231506,0.6776236295700073
David tossed a dish towel to Emma.,0.10009118914604187,0.8999088406562805
The prince tossed a dish towel to the princess.,0.8819682598114014,0.1180318146944046
Robert tossed a dish towel to Sarah.,0.1338687390089035,0.8661313056945801
Mr. Taylor tossed a dish towel to Mrs. Williams.,0.16118739545345306,0.8388126492500305
Paul tossed a dish towel to Emily.,0.8668829798698425,0.13311700522899628
