verb_exp_type,mean,std_dev,margin_error,conf_interval
IC1-connective1,0.6069761682146539,0.07315480328987004,0.028285001163144967,"(0.578691167051509, 0.6352611693777989)"
IC1-connective2,0.42970739052010076,0.05311498361145245,0.020536688032327662,"(0.4091707024877731, 0.45024407855242843)"
IC1-noprompt,0.5057536219634737,0.02594955762390398,0.010033288787160996,"(0.49572033317631276, 0.5157869107506348)"
IC2-connective1,0.45425104051828386,0.04212259310362673,0.01628652585134825,"(0.4379645146669356, 0.4705375663696321)"
IC2-connective2,0.4952173744599957,0.1366984082096324,0.05285387235461168,"(0.442363502105384, 0.5480712468146074)"
IC2-noprompt,0.5113481793164586,0.046870204674377254,0.01812217016671522,"(0.49322600914974335, 0.5294703494831738)"
motion-connective1,0.6137756397430267,0.03769950783698587,0.015457900453849212,"(0.5983177392891775, 0.6292335401968759)"
motion-connective2,0.5360806763724045,0.03839573108356866,0.01574337234079979,"(0.5203373040316047, 0.5518240487132043)"
motion-noprompt,0.5691622591542977,0.02963350989405316,0.012150605467348535,"(0.5570116536869492, 0.5813128646216463)"
transofposs_imperfective-connective1,0.5609678450579707,0.06776270993863752,0.026957461210358802,"(0.5340103838476119, 0.5879253062683295)"
transofposs_imperfective-connective2,0.6301076539999082,0.07159783537535873,0.02935720584812455,"(0.6007504481517837, 0.6594648598480327)"
transofposs_imperfective-noprompt,0.5700896704551197,0.03342162783789217,0.014152020291261481,"(0.5559376501638582, 0.5842416907463812)"
transofposs_perfective-connective1,0.5293173666945413,0.07517931989053152,0.029907947920108056,"(0.4994094187744333, 0.5592253146146494)"
transofposs_perfective-connective2,0.4834586775191782,0.09574849757265422,0.038090808522892705,"(0.4453678689962855, 0.5215494860420709)"
transofposs_perfective-noprompt,0.522666969398201,0.031579464915504625,0.013371976686446982,"(0.509294992711754, 0.536038946084648)"
