stimulus,He,She
Miss Smith tossed a dish towel to Mr. Smith.,0.7611793875694275,0.2388206273317337
The woman tossed a dish towel to the man.,0.7971635460853577,0.20283642411231995
Mary tossed a dish towel to John.,0.6739721298217773,0.32602787017822266
Alice tossed a dish towel to Bob.,0.61626136302948,0.38373857736587524
The actress tossed a dish towel to the actor.,0.8170480728149414,0.18295197188854218
The girl tossed a dish towel to the boy.,0.8027471899986267,0.19725275039672852
Mrs. Taylor tossed a dish towel to Mr. Williams.,0.7618896961212158,0.23811028897762299
Emma tossed a dish towel to David.,0.8027176260948181,0.1972823441028595
The princess tossed a dish towel to the prince.,0.8022884130477905,0.19771163165569305
Sarah tossed a dish towel to Robert.,0.5117583274841309,0.4882417321205139
Mrs. Williams tossed a dish towel to  Mr. Taylor.,0.7691818475723267,0.23081815242767334
Emily tossed a dish towel to Paul.,0.48945435881614685,0.510545551776886
Mr. Smith tossed a dish towel to Miss Smith.,0.8514190316200256,0.1485809087753296
The man tossed a dish towel to the woman.,0.8775832653045654,0.12241672724485397
John tossed a dish towel to Mary.,0.8700635433197021,0.12993645668029785
Bob tossed a dish towel to Alice.,0.8645095229148865,0.13549047708511353
The actor tossed a dish towel to the actress.,0.8691614866256714,0.13083849847316742
The boy tossed a dish towel to the girl.,0.867423951625824,0.1325760781764984
Mr. William tossed a dish towel to  Mrs. Taylor.,0.8568306565284729,0.1431693434715271
David tossed a dish towel to Emma.,0.08978968858718872,0.9102102518081665
The prince tossed a dish towel to the princess.,0.8696692585945129,0.13033069670200348
Robert tossed a dish towel to Sarah.,0.1052347719669342,0.8947651982307434
Mr. Taylor tossed a dish towel to Mrs. Williams.,0.8520145416259766,0.14798542857170105
Paul tossed a dish towel to Emily.,0.8591155409812927,0.14088445901870728
