Stimuli,He,She
John aggravated Mary.,0.8644506335258484,0.1355494111776352
Mary aggravated John.,0.7032120227813721,0.2967880070209503
John amazed Mary.,0.4097915589809418,0.5902084708213806
Mary amazed John.,0.7330572605133057,0.2669427692890167
John amused Mary.,0.6316537261009216,0.3683462142944336
Mary amused John.,0.6407315135002136,0.35926854610443115
John annoyed Mary.,0.65567547082901,0.34432461857795715
Mary annoyed John.,0.6252977848052979,0.37470221519470215
John apologized to Mary.,0.8283038139343262,0.17169614136219025
Mary apologized to John.,0.5478834509849548,0.45211660861968994
John bored Mary.,0.5065649151802063,0.49343499541282654
Mary bored John.,0.6933833360671997,0.3066166639328003
John charmed Mary.,0.6083037257194519,0.3916963040828705
Mary charmed John.,0.6691536903381348,0.33084625005722046
John offended Mary.,0.6117392778396606,0.38826075196266174
Mary offended John.,0.6858949065208435,0.3141050934791565
John confessed to Mary.,0.8481037616729736,0.1518961787223816
Mary confessed to John.,0.2865637242794037,0.7134363055229187
John deceived Mary.,0.39279255270957947,0.6072074174880981
Mary deceived John.,0.6591362357139587,0.34086379408836365
John disappointed Mary.,0.8251011371612549,0.17489884793758392
Mary disappointed John.,0.6294916272163391,0.3705084025859833
John exasperated Mary.,0.6889660358428955,0.3110339045524597
Mary exasperated John.,0.6433683037757874,0.35663163661956787
John fascinated Mary.,0.24906964600086212,0.7509303092956543
Mary fascinated John.,0.5674720406532288,0.43252798914909363
John frightened Mary.,0.39036035537719727,0.6096397042274475
Mary frightened John.,0.6246625185012817,0.3753374516963959
John humiliated Mary.,0.709306538105011,0.2906935214996338
Mary humiliated John.,0.6741185784339905,0.3258814215660095
John infuriated Mary.,0.5061072707176208,0.49389272928237915
Mary infuriated John.,0.6767277717590332,0.3232722282409668
John inspires Mary.,0.2390413135290146,0.760958731174469
Mary inspires John.,0.7446790933609009,0.2553209066390991
John intimidates Mary.,0.27729177474975586,0.7227082252502441
Mary intimidates John.,0.6987571716308594,0.30124276876449585
John scares Mary.,0.31275975704193115,0.6872402429580688
Mary scares John.,0.6445173025131226,0.35548269748687744
John surprised Mary.,0.7976366877555847,0.2023632526397705
Mary surprised John.,0.6865221261978149,0.31347784399986267
