Stimuli,He,She
Mary was flinging a frisbee to John.,0.7133403420448303,0.2866596281528473
John was flinging a frisbee to Mary.,0.8653171062469482,0.13468295335769653
John was kicking a soccer ball to Mary.,0.8743005990982056,0.12569940090179443
Mary was kicking a soccer ball to John.,0.6628095507621765,0.3371904194355011
Mary was lobbing a football to John.,0.7771328091621399,0.22286716103553772
John was lobbing a football to Mary.,0.8675030469894409,0.13249696791172028
John was rolling a toy truck to Mary.,0.8705229163169861,0.1294770985841751
Mary was rolling a toy truck to John.,0.3254139721393585,0.6745859980583191
Mary was throwing a hat to John.,0.6406440138816833,0.3593560457229614
John was throwing a hat to Mary.,0.8641561269760132,0.13584385812282562
John was tossing a dish towel to Mary.,0.8728322386741638,0.12716782093048096
Mary was tossing a dish towel to John.,0.579527735710144,0.42047223448753357
John was bringing a glass of water to Mary.,0.8709763884544373,0.12902356684207916
Mary was bringing a glass of water to John.,0.46969977021217346,0.5303001999855042
Mary was mailing a letter to John.,0.6674174070358276,0.33258256316185
John was mailing a letter to Mary.,0.8685399293899536,0.13146010041236877
John was sending a fruitcake to Mary.,0.8542609214782715,0.14573915302753448
Mary was sending a fruitcake to John.,0.5783995985984802,0.42160043120384216
Mary was shipping a package to John.,0.4306511878967285,0.5693488121032715
John was shipping a package to Mary.,0.846802294254303,0.1531977355480194
Mary was transmitting a message to John.,0.6833932995796204,0.316606730222702
John was transmitting a message to Mary.,0.8609880208969116,0.1390119343996048
John was wiring money to Mary.,0.8605622053146362,0.13943779468536377
Mary was wiring money to John.,0.6908947229385376,0.3091052770614624
Mary was carrying a tray to John.,0.5539721250534058,0.44602784514427185
John was carrying a tray to Mary.,0.86613529920578,0.1338646560907364
John was delivering a subpoena to Mary.,0.8702090382575989,0.12979097664356232
Mary was delivering a subpoena to John.,0.7334097027778625,0.26659026741981506
John was giving a sweater to Mary.,0.866519033908844,0.1334809809923172
Mary was giving a sweater to John.,0.5374522805213928,0.46254774928092957
John was handing a book to Mary.,0.859980046749115,0.1400199830532074
Mary was handing a book to John.,0.6367852091789246,0.36321476101875305
Mary was passing a sandwich to John.,0.5805028080940247,0.41949722170829773
John was passing a sandwich to Mary.,0.8668429255485535,0.13315705955028534
Mary was serving chili to John.,0.6075121760368347,0.3924877941608429
John was serving chili to Mary.,0.8601922988891602,0.13980773091316223
