Stimuli,he,she
Mary flung a frisbee to John because,0.16248862445354462,0.837511420249939
John flung a frisbee to Mary because,0.4906812906265259,0.5093187093734741
John kicked a soccer ball to Mary because,0.28878432512283325,0.7112157344818115
Mary kicked a soccer ball to John because,0.19506001472473145,0.8049399852752686
Mary lobbed a football to John because,0.22938834130764008,0.7706116437911987
John lobbed a football to Mary because,0.25189563632011414,0.7481043934822083
John rolled a toy truck to Mary because,0.6116425395011902,0.3883574903011322
Mary rolled a toy truck to John because,0.04420064017176628,0.9557992815971375
Mary threw a hat to John because,0.12169533967971802,0.878304660320282
John threw a hat to Mary because,0.4907916784286499,0.5092083811759949
John tossed a dish towel to Mary because,0.3770797848701477,0.6229202747344971
Mary tossed a dish towel to John because,0.21402795612812042,0.7859720587730408
John brought a glass of water to Mary because,0.3432735502719879,0.6567264795303345
Mary brought a glass of water to John because,0.0706053301692009,0.9293946027755737
John forwarded a gossipy email to Mary because,0.5600127577781677,0.4399872422218323
Mary forwarded a gossipy email to John because,0.04865679144859314,0.9513432383537292
Mary mailed a letter to John because,0.027944477275013924,0.9720555543899536
John mailed a letter to Mary because,0.7757049202919006,0.22429512441158295
John sent a fruitcake to Mary because,0.48323309421539307,0.5167669653892517
Mary sent a fruitcake to John because,0.0470317117869854,0.9529682397842407
Mary shipped a package to John because,0.027716228738427162,0.9722837805747986
John shipped a package to Mary because,0.37295693159103394,0.6270430684089661
Mary transmitted a message to John because,0.021066267043352127,0.9789336919784546
John transmitted a message to Mary because,0.7103991508483887,0.28960081934928894
John wired money to Mary because,0.515191376209259,0.4848085641860962
Mary wired money to John because,0.20887227356433868,0.7911277413368225
Mary carried a tray to John because,0.03414766862988472,0.9658523201942444
John carried a tray to Mary because,0.6522092223167419,0.34779083728790283
John delivered a subpoena to Mary because,0.3343488872051239,0.6656510829925537
Mary delivered a subpoena to John because,0.055347688496112823,0.9446523189544678
John gave a sweater to Mary because,0.5473750233650208,0.45262500643730164
Mary gave a sweater to John because,0.06245063990354538,0.9375492930412292
John handed a book to Mary because,0.32604214549064636,0.673957884311676
Mary handed a book to John because,0.0740528404712677,0.9259471297264099
Mary passed a sandwich to John because,0.05359402671456337,0.9464059472084045
John passed a sandwich to Mary because,0.5673762559890747,0.4326237142086029
Mary served chili to John because,0.018618691712617874,0.9813812971115112
John served chili to Mary because,0.5984089374542236,0.40159106254577637
