Stimuli,He,She
John flew to Mary.,0.8276289105415344,0.17237107455730438
Mary flew to John.,0.6302105784416199,0.3697894811630249
John walked to Mary.,0.8426752686500549,0.15732477605342865
Mary walked to John.,0.5878458023071289,0.4121541380882263
John ran to Mary.,0.8437045812606812,0.15629537403583527
Mary ran to John.,0.6256898641586304,0.37431013584136963
John swam to Mary.,0.8390353322029114,0.160964697599411
Mary swam to John.,0.4946388900279999,0.5053611397743225
John drove to Mary.,0.8339619636535645,0.16603806614875793
Mary drove to John.,0.6233034133911133,0.37669655680656433
John jogged to Mary.,0.8400871753692627,0.15991289913654327
Mary jogged to John.,0.5141782760620117,0.4858216941356659
