Stimuli,He,She
John rolled a beach ball to Mary.,0.8645491600036621,0.1354508250951767
Mary rolled a beach ball to John.,0.4997437000274658,0.5002562999725342
John handed a gift to Mary.,0.8469945788383484,0.153005450963974
Mary handed a gift to John.,0.6903373599052429,0.30966269969940186
Mary carried a banana to John.,0.5475152134895325,0.45248478651046753
John carried a banana to Mary.,0.8490622639656067,0.15093770623207092
John threw a Frisbee to Mary.,0.8540878295898438,0.14591215550899506
Mary threw a Frisbee to John.,0.7467815279960632,0.25321847200393677
John mailed a letter to Mary.,0.8449068665504456,0.15509314835071564
John gave a book to Mary.,0.8437541723251343,0.1562458574771881
Mary gave a book to John.,0.5824835896492004,0.4175163805484772
John brought flowers to Mary.,0.833501398563385,0.1664985865354538
Mary brought flowers to John.,0.5966204404830933,0.40337955951690674
Mary kicked a soccer ball to John.,0.793056845664978,0.2069430947303772
John kicked a soccer ball to Mary.,0.8593496680259705,0.14065028727054596
Mary mailed a letter to John.,0.6938942074775696,0.30610573291778564
