Stimuli,he,she
John aggravated Mary because,0.6552722454071045,0.3447277545928955
Mary aggravated John because,0.4346785247325897,0.5653214454650879
John amazed Mary because,0.8915109634399414,0.1084890067577362
Mary amazed John because,0.31226351857185364,0.6877365112304688
John amused Mary because,0.6925485730171204,0.30745139718055725
Mary amused John because,0.505396842956543,0.49460312724113464
John annoyed Mary because,0.6141935586929321,0.38580644130706787
Mary annoyed John because,0.6501443386077881,0.3498556613922119
John apologized to Mary because,0.555888295173645,0.44411176443099976
Mary apologized to John because,0.5813583731651306,0.41864168643951416
John bored Mary because,0.3841892182826996,0.6158108115196228
Mary bored John because,0.80364990234375,0.1963500678539276
John charmed Mary because,0.6291168928146362,0.37088316679000854
Mary charmed John because,0.41247978806495667,0.5875202417373657
John offended Mary because,0.6863582134246826,0.31364187598228455
Mary offended John because,0.7427988648414612,0.2572011351585388
John confessed to Mary because,0.8744792938232422,0.12552066147327423
Mary confessed to John because,0.027766002342104912,0.9722340106964111
John deceived Mary because,0.5012338161468506,0.4987661838531494
Mary deceived John because,0.30756068229675293,0.6924393177032471
John disappointed Mary because,0.7286903858184814,0.2713095545768738
Mary disappointed John because,0.5032658576965332,0.49673423171043396
John exasperated Mary because,0.6277725100517273,0.3722274601459503
Mary exasperated John because,0.7419850826263428,0.2580149471759796
John fascinated Mary because,0.6825703978538513,0.3174295723438263
Mary fascinated John because,0.5963360667228699,0.4036639928817749
John frightened Mary because,0.6217470169067383,0.37825295329093933
Mary frightened John because,0.7192084193229675,0.28079161047935486
John humiliated Mary because,0.4417150914669037,0.5582848787307739
Mary humiliated John because,0.776971161365509,0.22302883863449097
John infuriated Mary because,0.590789794921875,0.4092101752758026
Mary infuriated John because,0.7161474823951721,0.2838525176048279
John inspires Mary because,0.6532090306282043,0.34679099917411804
Mary inspires John because,0.3535631000995636,0.646436870098114
John intimidates Mary because,0.6414087414741516,0.3585911989212036
Mary intimidates John because,0.4632488191127777,0.5367511510848999
John scares Mary because,0.714972734451294,0.28502723574638367
Mary scares John because,0.6013206243515015,0.3986794054508209
John surprised Mary because,0.8224920630455017,0.17750798165798187
Mary surprised John because,0.4264237582683563,0.5735762715339661
