Stimuli,He,She
Mary flung a frisbee to John.,0.7383386492729187,0.2616612911224365
John flung a frisbee to Mary.,0.7791303396224976,0.22086967527866364
John kicked a soccer ball to Mary.,0.7809414267539978,0.21905860304832458
Mary kicked a soccer ball to John.,0.7411611080169678,0.258838951587677
Mary lobbed a football to John.,0.73746258020401,0.26253741979599
John lobbed a football to Mary.,0.7765270471572876,0.2234729528427124
John rolled a toy truck to Mary.,0.7825420498847961,0.21745799481868744
Mary rolled a toy truck to John.,0.7411397695541382,0.2588602602481842
Mary threw a hat to John.,0.7331745028495789,0.26682549715042114
John threw a hat to Mary.,0.7784407138824463,0.22155925631523132
John tossed a dish towel to Mary.,0.7844590544700623,0.21554097533226013
Mary tossed a dish towel to John.,0.7437437772750854,0.25625619292259216
John brought a glass of water to Mary.,0.79412841796875,0.2058715969324112
Mary brought a glass of water to John.,0.7287483215332031,0.2712516784667969
John forwarded a gossipy email to Mary.,0.7780454158782959,0.2219545990228653
Mary forwarded a gossipy email to John.,0.30580219626426697,0.6941978335380554
Mary mailed a letter to John.,0.24682451784610748,0.7531754970550537
John mailed a letter to Mary.,0.7759347558021545,0.22406528890132904
John sent a fruitcake to Mary.,0.7660261392593384,0.23397384583950043
Mary sent a fruitcake to John.,0.7154769897460938,0.28452298045158386
Mary shipped a package to John.,0.06499706953763962,0.9350029230117798
John shipped a package to Mary.,0.7629736661911011,0.23702631890773773
Mary transmitted a message to John.,0.3923136293888092,0.6076863408088684
John transmitted a message to Mary.,0.768801748752594,0.2311982363462448
John wired money to Mary.,0.7811776995658875,0.21882234513759613
Mary wired money to John.,0.5515230298042297,0.44847699999809265
Mary carried a tray to John.,0.7338147759437561,0.2661851942539215
John carried a tray to Mary.,0.7723562121391296,0.22764375805854797
John delivered a subpoena to Mary.,0.777828574180603,0.22217144072055817
Mary delivered a subpoena to John.,0.2061033397912979,0.7938966155052185
John gave a sweater to Mary.,0.7816708087921143,0.21832919120788574
Mary gave a sweater to John.,0.34563136100769043,0.6543686389923096
John handed a book to Mary.,0.7719570994377136,0.22804291546344757
Mary handed a book to John.,0.5399764180183411,0.46002355217933655
Mary passed a sandwich to John.,0.7254675030708313,0.2745325565338135
John passed a sandwich to Mary.,0.798834502696991,0.20116552710533142
Mary served chili to John.,0.32681170105934143,0.673188328742981
John served chili to Mary.,0.7738014459609985,0.22619856894016266
