Stimuli,he,she
John flew to Mary because,0.417158305644989,0.5828416347503662
Mary flew to John because,0.08990687131881714,0.9100931286811829
John walked to Mary because,0.5237079858779907,0.47629204392433167
Mary walked to John because,0.10601795464754105,0.8939820528030396
John ran to Mary because,0.5222638249397278,0.4777361750602722
Mary ran to John because,0.25894588232040405,0.741054117679596
John swam to Mary because,0.5903348326683044,0.40966513752937317
Mary swam to John because,0.09927023947238922,0.900729775428772
John drove to Mary because,0.4471733570098877,0.5528266429901123
Mary drove to John because,0.1425608992576599,0.8574391007423401
John jogged to Mary because,0.4241277873516083,0.5758722424507141
Mary jogged to John because,0.15977086126804352,0.8402292132377625
