Stimuli,He,She
The man assisted the woman ,0.8542863130569458,0.14571374654769897
The woman assisted the man ,0.6366159319877625,0.36338409781455994
The woman blames the man ,0.3045065999031067,0.6954934000968933
The man blames the woman ,0.9797621369361877,0.02023785375058651
The woman comforted the man ,0.6011358499526978,0.39886415004730225
The man comforted the woman ,0.9023057818412781,0.09769421070814133
The man congratulated the woman ,0.937109649181366,0.0628904178738594
The woman congratulated the man ,0.40703892707824707,0.5929610133171082
The man corrected the woman ,0.9197053909301758,0.08029462397098541
The woman corrected the man ,0.46641218662261963,0.5335878133773804
The woman detests the man ,0.3045494258403778,0.6954505443572998
The man detests the woman ,0.9736107587814331,0.026389243081212044
The man fears the woman ,0.9588809609413147,0.041119035333395004
The woman fears the man ,0.4277613162994385,0.5722386837005615
The woman envies the man ,0.3403635323047638,0.6596364378929138
The man envies the woman ,0.9764184355735779,0.02358161099255085
The man hates the woman ,0.9739133715629578,0.02608662284910679
The woman hates the man ,0.46739375591278076,0.532606303691864
The man helped the woman ,0.7247118353843689,0.2752881944179535
The woman helped the man ,0.6253911852836609,0.3746088147163391
The man mocked the woman ,0.967832088470459,0.032167948782444
The woman mocked the man ,0.4062158465385437,0.5937840938568115
The woman noticed the man ,0.7076563239097595,0.29234370589256287
The man noticed the woman ,0.8785998821258545,0.1214001402258873
The woman pacified the man ,0.517797589302063,0.4822024405002594
The man pacified the woman ,0.9475834965705872,0.05241651087999344
The woman praised the man ,0.5701483488082886,0.4298516511917114
The man praised the woman ,0.9684793949127197,0.031520627439022064
The man reproached the woman ,0.9367729425430298,0.06322702020406723
The woman reproached the man ,0.5225303173065186,0.47746971249580383
The woman scolded the man ,0.4742131233215332,0.5257868766784668
The man scolded the woman ,0.9435280561447144,0.05647191405296326
The man stared at the woman ,0.918285608291626,0.08171440660953522
The woman stared at the man ,0.631845235824585,0.36815476417541504
The man thanked the woman ,0.9581061005592346,0.04189383238554001
The woman thanked the man ,0.4284830093383789,0.5715169310569763
The woman trusts the man ,0.5667780637741089,0.43322187662124634
The man trusts the woman ,0.9690476059913635,0.030952436849474907
The woman values the man ,0.4942515194416046,0.5057485103607178
The man values the woman ,0.9719117283821106,0.028088271617889404
