Stimuli,He,She
The man flew to the woman.,0.8462116718292236,0.15378837287425995
The woman flew to the man.,0.8001329898834229,0.19986696541309357
The man walked to the woman.,0.8558129072189331,0.14418713748455048
The woman walked to the man.,0.8047536611557007,0.1952463686466217
The man ran to the woman.,0.8571962118148804,0.14280371367931366
The woman ran to the man.,0.8119294047355652,0.188070610165596
The man swam to the woman.,0.8522329926490784,0.14776693284511566
The woman swam to the man.,0.80698162317276,0.1930183321237564
The man drove to the woman.,0.8514270782470703,0.1485728919506073
The woman drove to the man.,0.8031438589096069,0.19685612618923187
The man jogged to the woman.,0.8524755239486694,0.14752449095249176
The woman jogged to the man.,0.8113746643066406,0.18862533569335938
