Stimuli
John chucked a wrench to Mary
Mary flung a frisbee to John 
John kicked a soccer ball to Mary
Mary lobbed a football to John
John rolled a toy truck to Mary
Mary threw a hat to John 
John tossed a dish towel to Mary
John brought a glass of water to Mary
Mary faxed a resume to John
John forwarded a gossipy email to Mary
Mary mailed a letter to John
John sent a fruitcake to Mary
Mary shipped a package to John
Mary transmitted a message to John
John wired money to Mary
Mary carried a tray to John
John delivered a subpoena to Mary
John gave a sweater to Mary
John handed a book to Mary
Mary passed a sandwich to John 
Mary served chili to John 
