stimuli
John assisted Mary
Mary assisted John
Mary blames John
John blames Mary
Mary comforted John
John comforted Mary
John congratulated Mary
Mary congratulated John
John corrected Mary
Mary corrected John
Mary detests John
John detests Mary
John fears Mary
Mary fears John
Mary envies John
John envies Mary
John hates Mary
Mary hates John
John helped Mary
Mary helped John
John mocked Mary
Mary mocked John
Mary noticed John
John noticed Mary
Mary pacified John
John pacified Mary
Mary praised John
John praised Mary
John reproached Mary
Mary reproached John
Mary scolded John
John scolded Mary
John stared at Mary
Mary stared at John
John thanked Mary
Mary thanked John
Mary trusts John
John trusts Mary
Mary values John
John values Mary
